761660	"Tuple{typeof(Base.vect), Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}}"
553060	"Tuple{typeof(SimpleDirectMediaLayer.CreateWindow), String, Int32, Int32, Int32, Int32, UInt32}"
203239	"Tuple{Type{Base.Dict{String, Gloria.AbstractResource}}}"
67842	"Tuple{getfield(Gloria, Symbol("##call#1#2")), Bool, Type{Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}}, String, Int64, Int64, Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}"
46576	"Tuple{Type{Gloria.Window{T} where T<:(AbstractArray{#s12, 1} where #s12<:Gloria.AbstractScene)}, String, Int64, Int64, Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}}"
193707	"Tuple{typeof(Base.iterate), Array{Gloria.Layer{Array{Parallax.Object, 1}}, 1}}"
159497	"Tuple{Type{Base.Generator{I, F} where F where I}, getfield(Parallax, Symbol("##5#6")), Base.UnitRange{Int64}}"
243921	"Tuple{getfield(Base, Symbol("##s549#398")), Any, Any, Any, Any, Any, Any}"
113615	"Tuple{Type{Symbol}, Symbol, Vararg{Any, N} where N}"
318969	"Tuple{getfield(Base.Cartesian, Symbol("#@ntuple")), LineNumberNode, Module, Int64, Any}"
105301	"Tuple{typeof(Base.Cartesian.lreplace!), QuoteNode, Base.Cartesian.LReplace{String}}"
62585	"Tuple{typeof(Base.Cartesian.exprresolve), QuoteNode}"
279176	"Tuple{typeof(Base.haskey), Base.Dict{Symbol, Function}, Expr}"
4165252	"Tuple{typeof(Base.exp), Float64}"
80182	"Tuple{typeof(Random.randn_unlikely), Random.MersenneTwister, Int64, Int64, Float64}"
56461	"Tuple{typeof(Base.randn), Random.MersenneTwister}"
25078962	"Tuple{typeof(Base.ht_keyindex), Base.Dict{String, Gloria.AbstractResource}, String}"
1267444	"Tuple{typeof(Base.vect), Symbol}"
211448	"Tuple{Type{Base.Val{x} where x}, Symbol}"
1206484	"Tuple{typeof(Rsvg.handle_new_from_file), String, Rsvg.GError}"
596046	"Tuple{typeof(Base.fill!), Array{UInt32, 2}, UInt32}"
5340069	"Tuple{typeof(Base.rehash!), Base.Dict{String, Gloria.AbstractResource}, Int64}"
326098	"Tuple{typeof(Base.ht_keyindex2!), Base.Dict{String, Gloria.AbstractResource}, String}"
329040	"Tuple{typeof(Base.setindex!), Base.Dict{String, Gloria.AbstractResource}, Gloria.Texture, String}"
423541	"Tuple{Type{Gloria.Texture}, Base.Val{:svg}, Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, String}"
308173	"Tuple{Type{Gloria.Texture}, Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, String}"
94732	"Tuple{getfield(Parallax, Symbol("##5#6")), Int64}"
102363	"Tuple{typeof(Base.collect_to_with_first!), Array{Parallax.Object, 1}, Parallax.Object, Base.Generator{Base.UnitRange{Int64}, getfield(Parallax, Symbol("##5#6"))}, Int64}"
122444	"Tuple{typeof(Base.collect), Base.Generator{Base.UnitRange{Int64}, getfield(Parallax, Symbol("##5#6"))}}"
1021079	"Tuple{typeof(Base.permutedims!), Array{UInt32, 2}, Array{UInt32, 2}, Tuple{Int64, Int64}}"
201237	"Tuple{getfield(Cairo, Symbol("##CairoImageSurface#1")), Bool, Function, Array{UInt32, 2}, Int32}"
654140	"Tuple{typeof(Base.copyto!), Array{Parallax.Object, 1}, Int64, Array{Parallax.Object, 1}, Int64, Int64}"
31661	"Tuple{typeof(Base.append!), Gloria.Layer{Array{Parallax.Object, 1}}, Array{Parallax.Object, 1}}"
159477	"Tuple{typeof(Base.iterate), Array{Gloria.Layer{Array{Parallax.Object, 1}}, 1}, Int64}"
258259	"Tuple{typeof(Cairo.destroy), Cairo.CairoContext}"
124962	"Tuple{typeof(Cairo.destroy), Cairo.CairoSurface{UInt32}}"
139729	"Tuple{typeof(Rsvg.destroy), Rsvg.RsvgHandle}"
202366	"Tuple{Type{NamedTuple{(:target_render_speed, :target_update_speed), T} where T<:Tuple}, Tuple{Float64, Float64}}"
350832	"Tuple{typeof(Base.diff_names), Tuple{Symbol, Symbol}, Tuple{Symbol, Symbol, Symbol, Symbol, Symbol, Symbol}}"
128000	"Tuple{typeof(Core.Compiler.getindex), Tuple{typeof(Base.schedule)}, Int64}"
229776	"Tuple{getfield(Gloria, Symbol("#kw##run!")), NamedTuple{(:target_render_speed, :target_update_speed), Tuple{Float64, Float64}}, typeof(Gloria.run!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}}"
1005090	"Tuple{typeof(Base.copyto!), Array{Task, 1}, Int64, Array{Task, 1}, Int64, Int64}"
405145	"Tuple{typeof(Base.throw_boundserror), Base.Broadcast.Broadcasted{Nothing, Tuple{Base.OneTo{Int64}}, typeof(Base.schedule), Tuple{Base.Broadcast.Extruded{Array{Task, 1}, Tuple{Bool}, Tuple{Int64}}}}, Tuple{Int64}}"
153111	"Tuple{getfield(Gloria, Symbol("##run!#14")), Float64, Float64, Float64, typeof(Gloria._eventloop), typeof(Gloria._updateloop), typeof(Gloria._renderloop), Function, Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}}"
453734	"Tuple{typeof(Base.vect), Task, Vararg{Task, N} where N}"
124672	"Tuple{typeof(Core.Compiler.getindex), Tuple{typeof(Base.wait)}, Int64}"
700239	"Tuple{typeof(Base.throw_boundserror), Base.Broadcast.Broadcasted{Nothing, Tuple{Base.OneTo{Int64}}, typeof(Base.wait), Tuple{Base.Broadcast.Extruded{Array{Task, 1}, Tuple{Bool}, Tuple{Int64}}}}, Tuple{Int64}}"
150582	"Tuple{typeof(Base.wait), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}}"
1124698	"Tuple{typeof(Base.getindex), Array{UInt8, 1}, Base.StepRange{Int64, Int64}}"
110536	"Tuple{typeof(Gloria.eventtype), Array{UInt8, 1}}"
77705	"Tuple{Type{Base.Val{x} where x}, UInt32}"
16930	"Tuple{typeof(Gloria.parseevent), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Array{UInt8, 1}}"
494495	"Tuple{typeof(Gloria.onevent!), Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, Base.Val{:quit}, Gloria.Event}"
98238	"Tuple{typeof(Gloria.onevent!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{:quit}, Gloria.Event}"
178630	"Tuple{getfield(Gloria, Symbol("##8#9")){Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Float64}}"
112755	"Tuple{typeof(Gloria.parseevent), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{0x00001100}, Array{UInt8, 1}}"
117267	"Tuple{typeof(Base.indexed_iterate), Tuple{Symbol, Gloria.Event}, Int64}"
108721	"Tuple{typeof(Base.indexed_iterate), Tuple{Symbol, Gloria.Event}, Int64, Int64}"
100037	"Tuple{typeof(Gloria.parseevent), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{0x00000200}, Array{UInt8, 1}}"
650687	"Tuple{getfield(Gloria, Symbol("##10#11")){Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Float64}}"
294050	"Tuple{getfield(Gloria, Symbol("##update!#19")), Float64, Float64, Function, Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}}"
320944	"Tuple{getfield(Gloria, Symbol("#kw##update!")), NamedTuple{(:t, :dt), Tuple{Float64, Float64}}, typeof(Gloria.update!), Gloria.Layer{Array{Parallax.Controls, 1}}}"
214162	"Tuple{getfield(Gloria, Symbol("#kw##update!")), NamedTuple{(:t, :dt), Tuple{Float64, Float64}}, typeof(Gloria.update!), Gloria.Layer{Array{Parallax.Object, 1}}}"
369649	"Tuple{getfield(Gloria, Symbol("##update!#21")), Float64, Float64, Function, Gloria.Layer{Array{Parallax.Object, 1}}}"
167259	"Tuple{typeof(Core.Compiler.getindex), Tuple{Int64, Float64}, Int64}"
300597	"Tuple{typeof(Base._compute_eltype), Type{Tuple{Int64, Float64}}}"
583729	"Tuple{getfield(Gloria, Symbol("##12#13")){Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Float64}}"
399977	"Tuple{getfield(Gloria, Symbol("##render!#20")), Int64, Float64, Function, Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}}"
730299	"Tuple{typeof(Gloria.setcolor!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, ColorTypes.RGB{FixedPointNumbers.Normed{UInt8, 8}}, Int64}"
42379	"Tuple{typeof(Gloria.setcolor!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, ColorTypes.RGB{FixedPointNumbers.Normed{UInt8, 8}}}"
217055	"Tuple{getfield(Gloria, Symbol("#kw##render!")), NamedTuple{(:frame, :fps), Tuple{Int64, Float64}}, typeof(Gloria.render!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Gloria.Layer{Array{Parallax.Controls, 1}}}"
1145193	"Tuple{typeof(Gloria.render!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Gloria.Texture, Int64, Int64, Float64, Float64, Float64, Int64, Int64, Symbol}"
130565	"Tuple{getfield(Gloria, Symbol("##render!#22")), Int64, Float64, Function, Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Gloria.Layer{Array{Parallax.Controls, 1}}}"
222334	"Tuple{getfield(Gloria, Symbol("#kw##render!")), NamedTuple{(:frame, :fps), Tuple{Int64, Float64}}, typeof(Gloria.render!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Gloria.Layer{Array{Parallax.Object, 1}}}"
626792	"Tuple{getfield(Gloria, Symbol("##render!#22")), Int64, Float64, Function, Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Gloria.Layer{Array{Parallax.Object, 1}}}"
239019	"Tuple{getfield(Gloria, Symbol("##render!#24")), Base.Iterators.Pairs{Symbol, Float64, Tuple{Symbol}, NamedTuple{(:angle,), Tuple{Float64}}}, Function, Gloria.Layer{Array{Parallax.Object, 1}}, Gloria.Texture, Float64, Vararg{Float64, N} where N}"
340359	"Tuple{typeof(Base.collect), Tuple{Float64, Float64}}"
434769	"Tuple{getfield(Gloria, Symbol("##render!#23")), Float64, Float64, Float64, Int64, Int64, Symbol, Function, Gloria.Layer{Array{Parallax.Object, 1}}, Gloria.Texture, Array{Float64, 1}}"
208865	"Tuple{typeof(Core.Compiler.getindex), Tuple{typeof(Base.has_offset_axes), Bool}, Int64}"
716299	"Tuple{typeof(Base.fill!), Array{Float64, 1}, Int64}"
1304698	"Tuple{typeof(LinearAlgebra.BLAS.gemv!), Char, Float64, Array{Float64, 2}, Array{Float64, 1}, Float64, Array{Float64, 1}}"
1008336	"Tuple{typeof(LinearAlgebra.generic_matvecmul!), Array{Float64, 1}, Char, Array{Float64, 2}, Array{Float64, 1}}"
55972	"Tuple{typeof(LinearAlgebra.gemv!), Array{Float64, 1}, Char, Array{Float64, 2}, Array{Float64, 1}}"
16832	"Tuple{typeof(Base.:(*)), Array{Float64, 2}, Array{Float64, 1}}"
169759	"Tuple{typeof(Base.Broadcast.broadcasted), Function, Array{Float64, 1}, Float64}"
90949	"Tuple{Type{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Axes, F, Args} where Args<:Tuple where F where Axes}, typeof(Base.:(*)), Tuple{Array{Float64, 1}, Float64}}"
155095	"Tuple{typeof(Base.Broadcast.broadcasted), Function, Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(*)), Tuple{Array{Float64, 1}, Float64}}, Array{Float64, 1}}"
85199	"Tuple{Type{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Axes, F, Args} where Args<:Tuple where F where Axes}, typeof(Base.:(+)), Tuple{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(*)), Tuple{Array{Float64, 1}, Float64}}, Array{Float64, 1}}}"
154297	"Tuple{typeof(Base.Broadcast.broadcasted), Function, Type{T} where T, Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(+)), Tuple{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(*)), Tuple{Array{Float64, 1}, Float64}}, Array{Float64, 1}}}}"
80241	"Tuple{typeof(Base.Broadcast.broadcastable), Type{Int64}}"
120623	"Tuple{typeof(Base.Broadcast.broadcasted), Base.Broadcast.DefaultArrayStyle{1}, Function, Base.RefValue{Type{Int64}}, Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(+)), Tuple{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(*)), Tuple{Array{Float64, 1}, Float64}}, Array{Float64, 1}}}}"
134604	"Tuple{Type{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Axes, F, Args} where Args<:Tuple where F where Axes}, typeof(Base.round), Tuple{Base.RefValue{Type{Int64}}, Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(+)), Tuple{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(*)), Tuple{Array{Float64, 1}, Float64}}, Array{Float64, 1}}}}}"
136486	"Tuple{typeof(Core.Compiler.getindex), Tuple{typeof(Base.round), DataType}, Int64}"
1058477	"Tuple{typeof(Base.throw_boundserror), Base.Broadcast.Broadcasted{Nothing, Tuple{Base.OneTo{Int64}}, typeof(Base.round), Tuple{Base.RefValue{Type{Int64}}, Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(+)), Tuple{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(*)), Tuple{Base.Broadcast.Extruded{Array{Float64, 1}, Tuple{Bool}, Tuple{Int64}}, Float64}}, Base.Broadcast.Extruded{Array{Float64, 1}, Tuple{Bool}, Tuple{Int64}}}}}}, Tuple{Int64}}"
248648	"Tuple{typeof(Base.Broadcast.materialize), Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.round), Tuple{Base.RefValue{Type{Int64}}, Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(+)), Tuple{Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, typeof(Base.:(*)), Tuple{Array{Float64, 1}, Float64}}, Array{Float64, 1}}}}}}"
146537	"Tuple{typeof(Base.indexed_iterate), Array{Int64, 1}, Int64}"
131053	"Tuple{typeof(Base.indexed_iterate), Array{Int64, 1}, Int64, Int64}"
242423	"Tuple{typeof(Gloria.parseevent), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{0x00000400}, Array{UInt8, 1}}"
307892	"Tuple{typeof(Gloria.geteventdata), Array{UInt8, 1}, Base.Pair{Symbol, DataType}, Vararg{Base.Pair{Symbol, DataType}, N} where N}"
84306	"Tuple{typeof(Base.sizeof), Type{T} where T}"
238801	"Tuple{typeof(Gloria.bitcat), Type{UInt32}, Array{UInt8, 1}}"
406156	"Tuple{typeof(Base.setindex!), Base.Dict{Symbol, Any}, UInt32, Symbol}"
254998	"Tuple{typeof(Gloria.bitcat), Type{Int32}, Array{UInt8, 1}}"
412723	"Tuple{typeof(Base.setindex!), Base.Dict{Symbol, Any}, Int32, Symbol}"
320042	"Tuple{typeof(Gloria.onevent!), Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, Base.Val{:mousemotion}, Gloria.Event}"
32169	"Tuple{typeof(Gloria.onevent!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{:mousemotion}, Gloria.Event}"
1975110	"Tuple{typeof(Base.throw_boundserror), Array{Int64, 1}, Tuple{}}"
88364	"Tuple{typeof(Gloria.getmousestate)}"
403795	"Tuple{typeof(Gloria.onevent!), Parallax.Controls, Base.Val{:mousemotion}, Gloria.Event}"
55317	"Tuple{typeof(Gloria.onevent!), Gloria.Layer{Array{Parallax.Controls, 1}}, Base.Val{:mousemotion}, Gloria.Event}"
377798	"Tuple{typeof(Gloria.onevent!), Gloria.Layer{Array{Parallax.Object, 1}}, Base.Val{:mousemotion}, Gloria.Event}"
237167	"Tuple{typeof(Gloria.parseevent), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{0x00000401}, Array{UInt8, 1}}"
251442	"Tuple{typeof(Gloria.bitcat), Type{UInt8}, Array{UInt8, 1}}"
404732	"Tuple{typeof(Base.setindex!), Base.Dict{Symbol, Any}, UInt8, Symbol}"
390890	"Tuple{typeof(Gloria.onevent!), Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, Base.Val{:mousebutton_down}, Gloria.Event}"
34271	"Tuple{typeof(Gloria.onevent!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{:mousebutton_down}, Gloria.Event}"
392112	"Tuple{typeof(Gloria.onevent!), Parallax.Controls, Base.Val{:mousebutton_down}, Gloria.Event}"
65201	"Tuple{typeof(Gloria.onevent!), Gloria.Layer{Array{Parallax.Controls, 1}}, Base.Val{:mousebutton_down}, Gloria.Event}"
128953	"Tuple{typeof(Base.:(==)), UInt8, Int64}"
199585	"Tuple{typeof(Gloria.onevent!), Gloria.Layer{Array{Parallax.Object, 1}}, Base.Val{:mousebutton_down}, Gloria.Event}"
118028	"Tuple{typeof(Base.:(*)), Int32, Float64}"
134149	"Tuple{typeof(Base.setproperty!), Gloria.Layer{Array{Parallax.Object, 1}}, Symbol, Float64}"
63369	"Tuple{typeof(Base.convert), Type{Real}, Float64}"
226365	"Tuple{typeof(Gloria.parseevent), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{0x00000402}, Array{UInt8, 1}}"
339740	"Tuple{typeof(Gloria.onevent!), Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, Base.Val{:mousebutton_up}, Gloria.Event}"
36231	"Tuple{typeof(Gloria.onevent!), Gloria.Window{Array{Gloria.Scene{Array{Gloria.Layer{T} where T<:(AbstractArray{#s22, 1} where #s22<:Gloria.AbstractObject), 1}}, 1}}, Base.Val{:mousebutton_up}, Gloria.Event}"
392826	"Tuple{typeof(Gloria.onevent!), Parallax.Controls, Base.Val{:mousebutton_up}, Gloria.Event}"
64548	"Tuple{typeof(Gloria.onevent!), Gloria.Layer{Array{Parallax.Controls, 1}}, Base.Val{:mousebutton_up}, Gloria.Event}"
222430	"Tuple{typeof(Gloria.onevent!), Gloria.Layer{Array{Parallax.Object, 1}}, Base.Val{:mousebutton_up}, Gloria.Event}"
